char,pinyin,definition,radical_char,radical_index,stroke_count,hsk_level,general_standard,frequency_rank
层,céng,"storey, layer, floor, stratum",尸,44.4,7,3,902,699.0
句,jù,sentence,口,30.2,5,3,288,707.0
简,jiǎn,"simple, terse, succinct, a letter",竹,118.7,13,3,2954,716.0
卡,kǎ,"card, punch card; calorie",卜,25.3,5,3,226,717.0
担,dān,"carry, bear, undertake",手,64.5,8,3,963,720.0
静,jìng,"quiet, still, motionless; gentle",青,174.6,14,3,3049,722.0
检,jiǎn,check; examine,木,75.7,11,3,2227,731.0
差,chà,"to differ; different, wrong; nearly, almost; an officer",工,48.7,9,3,1640,732.0
角,jiǎo,"horn; angle, corner; point",角,148.0,7,3,814,736.0
皮,pí,"skin, hide, fur, feather; outer",皮,107.0,5,3,336,741.0
啊,a,exclamatory particle,口,30.8,10,3,1915,753.0
超,chāo,"jump over, leap over; surpass",走,156.5,12,3,2517,754.0
银,yín,"silver; cash, money, wealth",金,167.6,11,3,2309,757.0
怪,guài,"strange, unusual, peculiar",心,61.5,8,3,1271,775.0
香,xiāng,"fragrant, sweet smelling, incense",香,186.0,9,3,1548,776.0
铁,tiě,"iron; strong, solid, firm",金,167.5,10,3,1932,779.0
草,cǎo,"grass, straw, thatch, herbs",艸,140.6,9,3,1408,789.0
脚,jiǎo,"leg, foot; base, leg, foundation",肉,130.7,11,3,2355,790.0
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",酉,164.3,10,3,2069,797.0
顾,gù,look back; look at; look after,頁,181.4,10,3,1874,815.0
换,huàn,change,手,64.7,10,3,1806,824.0
闻,wén,hear; smell; make known; news,門,169.6,9,3,1636,825.0
坏,huài,"rotten, spoilt, bad, broken down",土,32.4,7,3,616,832.0
楚,chǔ,name of feudal state; clear,木,75.9,13,3,2864,859.0
楼,lóu,building of two or more stories,木,75.9,13,3,2870,876.0
画,huà,"a painting, picture, drawing; to draw",田,102.3,8,3,1036,883.0
耳,ěr,"ear; merely, only; handle",耳,128.0,6,3,369,887.0
短,duǎn,"short; brief; deficient, lacking",矢,111.7,12,3,2669,889.0
遇,yù,"meet, come across, encounter",辵,162.9,12,3,2622,899.0
康,kāng,"peaceful, quiet; happy, healthy",广,53.8,11,3,2385,900.0
旧,jiù,"old, ancient; former, past",日,72.1,5,3,232,915.0
春,chūn,spring; wanton,日,72.5,9,3,1355,921.0
附,fù,"adhere to, append; rely on near to",阜,170.5,7,3,916,923.0
礼,lǐ,social custom; manners; courtesy,示,113.1,5,3,318,926.0
板,bǎn,"plank, board; iron or tin plate",木,75.4,8,3,1025,930.0
婚,hūn,"get married; marriage, wedding",女,38.8,11,3,2481,942.0
鲜,xiān,fresh; delicious; attractive,魚,195.6,14,3,3135,958.0
词,cí,"words; phrase, expression",言,149.5,7,3,897,959.0
择,zé,"select, choose, pick out",手,64.5,8,3,992,961.0
健,jiàn,"strong, robust, healthy; strength",人,9.9,10,3,1969,979.0
借,jiè,borrow; lend; make pretext of,人,9.8,10,3,1955,984.0
园,yuán,"garden; park, orchard",囗,31.4,7,3,726,988.0
牙,yá,"tooth, molars, teeth; serrated",牙,92.0,4,3,102,997.0
束,shù,"bind, control, restrain; bale",木,75.3,7,3,694,998.0
练,liàn,"to practice, drill, exercise, train",糸,120.5,8,3,1337,1005.0
爷,yé,"father, grandfather",父,88.2,6,3,492,1007.0
嘴,zuǐ,"mouth, lips",口,30.12,16,3,3342,1010.0
戏,xì,"theatrical play, show",戈,62.2,6,3,584,1033.0
典,diǎn,"law, canon; documentation; classic, scripture",八,12.6,8,3,1092,1044.0
盘,pán,"tray, plate, dish; examine",皿,108.6,11,3,2343,1049.0
忘,wàng,"forget; neglect; miss, omit",心,61.3,7,3,844,1056.0
赛,sài,"compete, contend; contest, race",宀,40.11,14,3,3172,1064.0
趣,qù,,走,156.8,15,3,3194,1065.0
迎,yíng,"receive, welcome, greet",辵,162.4,7,3,822,1069.0
冰,bīng,ice; ice-cold,冫,15.4,6,3,513,1070.0
努,nǔ,"to exert, strive, make an effort; to pout",力,19.5,7,3,924,1081.0
绿,lǜ,green; chlorine,糸,120.8,11,3,2498,1088.0
街,jiē,"street, road, thoroughfare",行,144.6,12,3,2702,1101.0
灯,dēng,"lantern, lamp",火,86.2,6,3,534,1115.0
夏,xià,"summer; great, grand, big",夊,35.7,10,3,1862,1126.0
秋,qiū,"autumn, fall; year",禾,115.4,9,3,1550,1151.0
末,mò,"final, last, end; insignificant",木,75.1,5,3,193,1164.0
蓝,lán,blue; indigo plant; surname,艸,140.1,13,3,2852,1190.0
烧,shāo,burn; bake; heat; roast,火,86.6,10,3,2060,1201.0
哭,kū,"weep, cry, wail",口,30.7,10,3,1907,1210.0
冒,mào,"risk, brave, dare",冂,13.7,9,3,1486,1222.0
惯,guàn,"habit, custom; habitually, usual",心,61.8,11,3,2450,1226.0
鸟,niǎo,bird; KangXi radical 196,鳥,196.0,5,3,296,1263.0
季,jì,quarter of year; season; surname,子,39.5,8,3,1132,1279.0
鼻,bí,nose; first; KangXi radical 209,鼻,209.0,14,3,3128,1335.0
腿,tuǐ,"legs, thighs",肉,130.1,13,3,2976,1351.0
迟,chí,"late, tardy; slow; delay",辵,162.4,7,3,906,1374.0
辆,liàng,numerary adjunct for vehicles,車,159.7,11,3,2251,1375.0
净,jìng,"clean, pure; cleanse",冫,15.6,8,3,1221,1377.0
冬,dōng,"winter, 11th lunar month",冫,15.3,5,3,295,1384.0
骑,qí,ride horseback; mount; cavalry,馬,187.8,11,3,2489,1398.0
叔,shū,,又,29.6,8,3,1065,1422.0
爬,pá,"crawl, creep; climb; scramble",爪,87.4,8,3,1161,1426.0
扫,sǎo,"sweep, clear away; exterminate",手,64.3,6,3,365,1435.0
箱,xiāng,"case, box, chest, trunk",竹,118.9,15,3,3265,1453.0
舒,shū,"open up, unfold, stretch out; comfortable, easy",舌,135.6,12,3,2707,1459.0
绩,jī,spin; achievements,糸,120.8,11,3,2486,1547.0
饮,yǐn,drink; swallow; kind of drink,食,184.4,7,3,824,1569.0
朵,duǒ,cluster of flowers; earlobe,木,75.2,6,3,497,1571.0
鞋,xié,"shoes, footwear in general",革,177.6,15,3,3207,1638.0
邮,yóu,"postal, mail; post office",邑,163.5,7,3,732,1652.0
邻,lín,neighbor; neighborhood,邑,163.5,7,3,801,1659.0
聪,cōng,"intelligent, clever, bright",耳,128.9,15,3,3206,1669.0
梯,tī,"ladder, steps, stairs; lean",木,75.7,11,3,2229,1672.0
瓶,píng,"jug, pitcher, vase, jar, bottle",瓦,98.6,10,3,2051,1703.0
疼,téng,"aches, pains; be fond of; love",疒,104.5,10,3,2031,1710.0
熊,xióng,a bear; brilliant; bright; surname,火,86.1,14,3,3185,1741.0
帽,mào,"hat, cap; cap-like tops",巾,50.9,12,3,2649,1750.0
炼,liàn,"smelt, refine; distill, condense",火,86.5,9,3,1655,1763.0
搬,bān,"transfer, move, remove, shift",手,64.1,13,3,2840,1766.0
刷,shuā,"brush; clean with brush, scrub",刀,18.6,8,3,1310,1824.0
瘦,shòu,"thin, emaciated, lean; meager",疒,104.1,14,3,3147,1841.0
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",斤,69.0,4,3,137,1866.0
胖,pàng,"fat, obese; fatty",肉,130.5,9,3,1596,1893.0
饿,è,hungry; greedy for; hunger,食,184.7,10,3,2012,1911.0
聊,liáo,"somewhat, slightly, at least",耳,128.5,11,3,2196,1932.0
碗,wǎn,"bowl, small dish",石,112.8,13,3,2881,1939.0
渴,kě,"thirsty, parched; yearn, pine",水,85.9,12,3,2758,1972.0
饱,bǎo,,食,184.5,8,3,1202,1998.0
甜,tián,"sweet, sweetness",甘,99.6,11,3,2311,2020.0
矮,ǎi,"short, dwarf; low",矢,111.8,13,3,2946,2027.0
裤,kù,"trousers, pants",衣,145.7,12,3,2791,2090.0
衫,shān,shirt; robe; gown; jacket,衣,145.3,8,3,1293,2153.0
伞,sǎn,"umbrella, parasol, parachute",人,9.4,6,3,493,2202.0
姨,yí,,女,38.6,9,3,1737,2287.0
刮,guā,"shave, pare off, scrape",刀,18.6,8,3,1129,2350.0
糕,gāo,"cakes, pastry",米,119.1,16,3,3375,2413.0
裙,qún,"skirt, apron, petticoat",衣,145.7,12,3,2792,2431.0
衬,chèn,underwear; inner garments,衣,145.3,8,3,1292,2502.0
锻,duàn,"forge metal; temper, refine",金,167.9,14,3,3114,2531.0
澡,zǎo,"wash, bathe",水,85.13,16,3,3378,2695.0
啤,pí,beer,口,30.8,11,3,2289,2849.0
蕉,jiāo,banana; plantain,艸,140.12,15,3,3209,3104.0
筷,kuài,chopsticks,竹,118.7,13,3,2955,3110.0
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4,58,44.0
部,bù,"part, division, section",邑,163.8,10,4,2044,84.0
无,wú,"negative, no, not; KangXi radical 71",无,71.0,4,4,81,105.0
与,yǔ,"and; with; to; for; give, grant",一,1.3,3,4,34,108.0
民,mín,"people, subjects, citizens",氏,83.1,5,4,327,113.0
此,cǐ,"this, these; in this case, then",止,77.2,6,4,411,116.0
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",人,9.6,8,4,1139,119.0
性,xìng,"nature, character, sex",心,61.5,8,4,1268,122.0
全,quán,"maintain, keep whole or intact",入,11.4,6,4,485,124.0
将,jiāng,"will, going to, future; general",爿,90.6,9,4,1617,132.0
由,yóu,"cause, reason; from",田,102.0,5,4,245,136.0
并,bìng,,干,51.5,6,4,531,141.0
美,měi,"beautiful, pretty; pleasing",羊,123.3,9,4,1642,151.0
利,lì,"gains, advantage, profit, merit",刀,18.5,7,4,763,155.0
合,hé,"combine, unite, join; gather",口,30.3,6,4,488,171.0
内,nèi,inside,入,11.2,4,4,116,175.0
度,dù,"degree, system; manner; to consider",广,53.6,9,4,1622,184.0
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",人,9.4,6,4,467,186.0
海,hǎi,"sea, ocean; maritime",水,85.7,10,4,2074,189.0
通,tōng,"pass through, common, communicate",辵,162.7,10,4,2145,190.0
原,yuán,"source, origin, beginning",厂,27.8,10,4,1868,193.0
及,jí,extend; reach; come up to; and,又,29.2,3,4,52,198.0
论,lùn,debate; discuss; discourse,言,149.4,6,4,556,205.0
处,chù,"place, locale; department",夂,34.2,5,4,294,206.0
各,gè,"each, individually, every, all",口,30.3,6,4,506,209.0
入,rù,"enter, come in(to), join",入,11.0,2,4,11,210.0
活,huó,"live, exist, survive; lively",水,85.6,9,4,1672,219.0
尔,ěr,"you; that, those; final particle",小,42.2,5,4,286,220.0
何,hé,"what, why, where, which, how",人,9.5,7,4,771,229.0
反,fǎn,"reverse, opposite, contrary, anti",又,29.2,4,4,139,237.0
受,shòu,"receive, accept, get; bear, stand",又,29.6,8,4,1174,238.0
量,liàng,"measure, quantity, capacity",里,166.5,12,4,2616,241.0
建,jiàn,"build, establish, erect, found",廴,54.6,8,4,1302,244.0
计,jì,"plan, plot; strategem; scheme",言,149.2,4,4,168,251.0
管,guǎn,"pipe, tube, duct; woodwind music",竹,118.8,14,4,3123,252.0
资,zī,property; wealth; capital,貝,154.6,10,4,2039,257.0
命,mìng,"life; destiny, fate, luck; an order, instruction",口,30.5,8,4,1168,258.0
金,jīn,gold; metals in general; money,金,167.0,8,4,1166,260.0
指,zhǐ,"finger, toe; point, indicate",手,64.6,9,4,1389,261.0
克,kè,gram; overcome; transliteration,儿,10.5,7,4,675,262.0
许,xǔ,"allow, permit; promise; betroth",言,149.4,6,4,554,263.0
区,qū,"area, district, region, ward",匸,23.2,4,4,94,265.0
保,bǎo,"protect, safeguard, defend, care",人,9.7,9,4,1562,266.0
至,zhì,"reach, arrive; extremely, very",至,133.0,6,4,410,267.0
队,duì,"team, group; army unit",阜,170.2,4,4,180,268.0
社,shè,"god of the soil and altars to him; group of families; company, society",示,113.3,7,4,890,270.0
展,zhǎn,"open, unfold; stretch, extend",尸,44.7,10,4,2131,275.0
科,kē,"section, department, science",禾,115.4,9,4,1551,277.0
基,jī,"foundation, base",土,32.8,11,4,2193,280.0
则,zé,"rule, law, regulation; grades",刀,18.4,6,4,440,284.0
却,què,"still, but; decline; retreat",卩,26.5,7,4,658,287.0
光,guāng,"light, brilliant, shine; only",儿,10.4,6,4,417,290.0
即,jí,"promptly, quickly, immediately",卩,26.5,7,4,901,293.0
象,xiàng,"elephant; ivory; figure, image",豕,152.5,11,4,2361,300.0
式,shì,"style, system, formula, rule",弋,56.3,6,4,349,303.0
程,chéng,"journey, trip; schedule, agenda",禾,115.7,12,4,2677,314.0
死,sǐ,die; dead; death,歹,78.2,6,4,400,317.0
交,jiāo,"mix; intersect; exchange, communicate; deliver",亠,8.4,6,4,519,320.0
规,guī,"rules, regulations, customs, law",見,147.4,8,4,952,321.0
取,qǔ,"take, receive, obtain; select",又,29.6,8,4,997,323.0
拉,lā,"pull, drag; seize, hold; lengthen",手,64.5,8,4,981,324.0
格,gé,"pattern, standard, form; style",木,75.6,10,4,1845,325.0
术,shù,"art, skill, special feat; method, technique",木,75.1,5,4,211,328.0
确,què,"sure, certain; real, true",石,112.7,12,4,2591,331.0
传,chuán,"summon; propagate, transmit",人,9.4,6,4,455,332.0
观,guān,"see, observe, view; appearance",見,147.2,6,4,586,334.0
切,qiè,"cut, mince, slice, carve",刀,18.2,4,4,107,337.0
导,dǎo,"direct, guide, lead, conduct",寸,41.3,6,4,567,343.0
争,zhēng,"dispute, fight, contend, strive",亅,6.5,6,4,508,344.0
改,gǎi,"change, alter; improve, remodel",攴,66.3,7,4,908,350.0
收,shōu,"gather together, collect; harvest",攴,66.2,6,4,573,351.0
言,yán,"words, speech; speak, say",言,149.0,7,4,826,355.0
联,lián,"connect, join; associate, ally",耳,128.6,12,4,2544,356.0
持,chí,"sustain, support; hold, grasp",手,64.6,9,4,1367,357.0
济,jì,"help, aid, relieve; ferry, cross",水,85.6,9,4,1678,360.0
亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",立,117.4,9,4,1631,362.0
林,lín,"forest, grove; surname",木,75.4,8,4,1018,364.0
士,shì,"scholar, gentleman; soldier",士,33.0,3,4,28,372.0
证,zhèng,"prove, confirm, verify; proof",言,149.5,7,4,885,373.0
失,shī,"lose; make mistake, neglect",大,37.2,5,4,265,375.0
转,zhuǎn,"shift, move, turn",車,159.4,8,4,1059,376.0
存,cún,"exist, live, be; survive; remain",子,39.3,6,4,391,384.0
台,tái,platform; unit; term of address,口,30.2,5,4,342,388.0
具,jù,"tool, implement; draw up, write",八,12.6,8,4,1077,391.0
流,liú,"flow, circulate, drift; class",水,85.6,10,4,2080,396.0
连,lián,"join, connect; continuous; even",辵,162.4,7,4,708,399.0
深,shēn,"deep; depth; far; very, extreme",水,85.8,11,4,2432,401.0
质,zhì,"matter, material, substance",厂,27.4,8,4,1157,404.0
价,jià,"price, value",人,9.4,6,4,469,409.0
整,zhěng,"orderly, neat, tidy; whole",攴,66.11,16,4,3333,416.0
况,kuàng,"condition, situation; furthermore",冫,15.5,7,4,830,419.0
亚,yà,Asia; second,一,1.5,6,4,373,420.0
技,jì,"skill, ability, talent, ingenuity",手,64.4,7,4,615,422.0
际,jì,"border, boundary, juncture",阜,170.5,7,4,911,423.0
约,yuē,"treaty, agreement, covenant",糸,120.3,6,4,593,424.0
示,shì,"show, manifest; demonstrate",示,113.0,5,4,194,425.0
究,jiū,"examine, investigate",穴,116.2,7,4,881,429.0
线,xiàn,"line, thread, wire; clue",糸,120.5,8,4,1336,430.0
断,duàn,"sever, cut off; interrupt",斤,69.7,11,4,2405,434.0
精,jīng,essence; semen; spirit,米,119.8,14,4,3153,435.0
支,zhī,"disperse, pay; support; branch",支,65.0,4,4,89,437.0
消,xiāo,"vanish, die out; melt away",水,85.7,10,4,2071,439.0
增,zēng,"increase, add to, augment",土,32.12,15,4,3204,446.0
研,yán,"grind, rub; study, research",石,112.6,9,4,1446,447.0
功,gōng,"achievement, merit, good result",力,19.3,5,4,202,452.0
广,guǎng,"wide, extensive, broad; rad. 53",广,53.0,3,4,53,468.0
标,biāo,"mark, symbol, label, sign; stand the bole of a tree",木,75.5,9,4,1424,473.0
谈,tán,talk; conversation; surname,言,149.8,10,4,2127,474.0
引,yǐn,"to pull, draw out, attract; to stretch",弓,57.1,4,4,176,479.0
首,shǒu,"head; first; leader, chief; a poem",首,185.0,9,4,1651,481.0
局,jú,"bureau, office; circumstance",尸,44.4,7,4,907,483.0
专,zhuān,"monopolize, take sole possession",一,1.3,4,4,83,485.0
费,fèi,"expenses, expenditures, fee",貝,154.5,9,4,1726,486.0
尽,jǐn,"exhaust, use up; deplete",尸,44.3,6,4,566,488.0
另,lìng,"another, separate, other",口,30.2,5,4,256,489.0
仅,jǐn,"only, merely, solely, just",人,9.2,4,4,136,494.0
落,luò,"fall, drop; net income, surplus",艸,140.9,12,4,2557,496.0
随,suí,"follow, listen to, submit to",阜,170.1,11,4,2476,498.0
列,liè,"a line; to arrange in order, classify",刀,18.4,6,4,399,500.0
推,tuī,"push, expel; push forward",手,64.8,11,4,2174,505.0
众,zhòng,"multitude, crowd; masses, public",人,9.4,6,4,491,510.0
案,àn,"table, bench; legal case",木,75.6,10,4,2107,518.0
划,huà,to row or paddle boat; to scratch,刀,18.4,6,4,407,522.0
律,lǜ,"statute, principle, regulation",彳,60.6,9,4,1583,526.0
态,tài,"manner, bearing, attitude",心,61.4,8,4,1052,528.0
验,yàn,"test, examine, inspect; verify",馬,187.7,10,4,2152,534.0
责,zé,,貝,154.4,8,4,948,535.0
够,gòu,"enough, adequate",夕,36.8,11,4,2362,538.0
章,zhāng,"composition; chapter, section",立,117.6,11,4,2389,539.0
志,zhì,"purpose, will, determination; annals",心,61.3,7,4,651,542.0
底,dǐ,"bottom, underneath, underside",广,53.5,8,4,1212,543.0
严,yán,"strict, rigorous, rigid; stern",一,1.6,7,4,671,545.0
例,lì,"precedent, example; regulation",人,9.6,8,4,1140,547.0
族,zú,"a family clan, ethnic group, tribe",方,70.7,11,4,2392,549.0
供,gōng,"supply, provide for; offer in worship",人,9.6,8,4,1138,550.0
效,xiào,"result, effect; effectiveness",攴,66.6,10,4,2034,551.0
续,xù,"continue, carry on; succeed",糸,120.8,11,4,2488,552.0
紧,jǐn,"tense, tight, taut; firm, secure",糸,120.4,10,4,1884,560.0
绝,jué,"to cut, sever, break off, terminate",糸,120.6,9,4,1762,562.0
察,chá,"examine, investigate; notice",宀,40.11,14,4,3174,564.0
母,mǔ,mother; female elders; female,毋,80.1,5,4,345,565.0
批,pī,"comment, criticize; wholesale",手,64.4,7,4,622,569.0
按,àn,"put hand on, press down with hand",手,64.6,9,4,1395,573.0
围,wéi,"surround, encircle, corral",囗,31.4,7,4,728,576.0
江,jiāng,large river; yangzi; surname,水,85.3,6,4,538,577.0
纪,jì,"record, annal, historical account",糸,120.3,6,4,595,584.0
举,jǔ,"raise, lift up; recommend",丶,3.8,9,4,1693,586.0
父,fù,father; KangXi radical 88,父,88.0,4,4,141,589.0
密,mì,"dense, thick, close; intimate",宀,40.8,11,4,2458,591.0
低,dī,"low; to lower, hang, bend, bow",人,9.5,7,4,781,592.0
止,zhǐ,"stop, halt, desist; detain",止,77.0,4,4,109,596.0
细,xì,"fine, tiny; slender, thin",糸,120.5,8,4,1340,597.0
值,zhí,price,人,9.8,10,4,1956,600.0
仍,réng,"yet, still, as ever; again; keep -ing, continuing",人,9.2,4,4,135,601.0
破,pò,"break, ruin, destroy; rout",石,112.5,10,4,1867,604.0
倒,dào,fall over; lie down; take turns,人,9.8,10,4,1960,608.0
职,zhí,"duty, profession; office, post",耳,128.5,11,4,2192,616.0
速,sù,"quick, prompt, speedy",辵,162.7,10,4,1853,617.0
否,fǒu,"not, no, negative; final particle",口,30.4,7,4,703,620.0
毛,máo,"hair, fur, feathers; coarse",毛,82.0,4,4,123,623.0
甚,shén,great extent; considerably,甘,99.4,9,4,1400,626.0
普,pǔ,"universal, general, widespread",日,72.8,12,4,2741,630.0
弹,dàn,"pellet, bullet, shot, shell",弓,57.8,11,4,2473,632.0
苦,kǔ,"bitter; hardship, suffering",艸,140.5,8,4,999,634.0
印,yìn,"print, seal, stamp, chop, mark",卩,26.4,5,4,285,640.0
预,yù,"prepare, arrange; in advance",頁,181.4,10,4,2148,647.0
微,wēi,"small, prefix micro-, trifling",彳,60.1,13,4,2965,653.0
继,jì,"continue, maintain, carry on",糸,120.7,10,4,2153,655.0
惊,jīng,"frighten, surprise, startle",心,61.8,11,4,2445,659.0
伤,shāng,"wound, injury; fall ill from",人,9.4,6,4,468,660.0
适,shì,"go, reach; appropriate, suitable",辵,162.6,9,4,1546,663.0
省,shěng,"province; save, economize",目,109.4,9,4,1474,666.0
卫,wèi,"guard, protect, defend",乙,5.2,3,4,65,669.0
险,xiǎn,"narrow pass, strategic point",阜,170.7,9,4,1733,672.0
排,pái,"row, rank, line",手,64.8,11,4,2168,682.0
福,fú,"happiness, good fortune, blessing",示,113.9,13,4,3033,683.0
警,jǐng,"guard, watch; alert, alarm",言,149.13,19,4,3453,687.0
获,huò,"obtain, get, receive; seize",艸,140.7,10,4,1827,688.0
负,fù,"load, burden; carry, bear",貝,154.2,6,4,503,691.0
云,yún,"say, speak; clouds",二,7.2,4,4,82,692.0
停,tíng,"stop, suspend, delay; suitable",人,9.9,11,4,2333,693.0
疑,yí,"doubt, question, suspect",疋,103.9,14,4,3136,698.0
洲,zhōu,continent; island; islet,水,85.6,9,4,1680,701.0
竟,jìng,"finally, after all, at last",立,117.6,11,4,2390,706.0
激,jī,"arouse, excite, incite; quickly",水,85.13,16,4,3379,710.0
演,yǎn,"perform, put on; exercise",水,85.11,14,4,3167,715.0
判,pàn,judge; discriminate; conclude,刀,18.5,7,4,849,719.0
既,jì,already; de facto; since; then,无,71.5,9,4,1721,724.0
积,jī,"accumulate, store up, amass",禾,115.5,10,4,1945,728.0
富,fù,"abundant, ample; rich, wealthy",宀,40.9,12,4,2781,733.0
占,zhàn,divine; observe; versify,卜,25.3,5,4,228,737.0
修,xiū,study; repair; cultivate,人,9.8,9,4,1560,740.0
降,jiàng,"descend, fall, drop; lower, down",阜,170.6,8,4,1321,744.0
坚,jiān,"hard, strong, firm; resolute",土,32.4,7,4,712,748.0
免,miǎn,spare; excuse from; evade,儿,10.5,7,4,810,755.0
压,yā,press; oppress; crush; pressure,厂,27.4,6,4,385,756.0
养,yǎng,"raise, rear, bring up; support",八,12.7,9,4,1641,760.0
怀,huái,"bosom, breast; carry in bosom",心,61.4,7,4,873,762.0
乱,luàn,"confusion, state of chaos, revolt",乙,5.6,7,4,762,765.0
航,háng,"sail; navigate; ship, boat",舟,137.4,10,4,1981,773.0
优,yōu,"superior, excellent; actor",人,9.4,6,4,461,774.0
著,zhe,manifest; (Cant.) to wear,艸,140.8,11,4,2198,777.0
份,fèn,"portion, part; duty",人,9.4,6,4,471,784.0
艺,yì,"art; talent, ability; craft",艸,140.1,4,4,86,786.0
概,gài,"generally, approximately",木,75.9,13,4,2871,791.0
敢,gǎn,"to dare, venture; bold, brave",攴,66.8,11,4,2470,795.0
户,hù,door; family,戶,63.0,4,4,170,801.0
洋,yáng,"ocean, sea; foreign; western",水,85.6,9,4,1679,803.0
款,kuǎn,"item, article; clause; fund",欠,76.8,12,4,2508,807.0
评,píng,"appraise, criticize, evaluate",言,149.5,7,4,887,809.0
座,zuò,"seat; stand, base",广,53.7,10,4,2025,812.0
释,shì,"interprete, elucidate; release",釆,165.5,12,4,2710,813.0
景,jǐng,"scenery, view; conditions",日,72.8,12,4,2626,814.0
登,dēng,"rise, mount, board, climb",癶,105.7,12,4,2813,817.0
货,huò,"goods, commodities, products",貝,154.4,8,4,1151,818.0
互,hù,"mutually, reciprocally",二,7.2,4,4,106,819.0
付,fù,"give, deliver, pay, hand over; entrust",人,9.3,5,4,269,820.0
危,wēi,"dangerous, precarious; high",卩,26.4,6,4,499,826.0
讨,tǎo,"to discuss; ask for, beg; demand; dun; marry",言,149.3,5,4,315,833.0
丽,lì,"beautiful, magnificent, elegant",丶,3.7,7,4,699,834.0
序,xù,"series, serial order, sequence",广,53.4,7,4,840,836.0
永,yǒng,"long, perpetual, eternal, forever",水,85.1,5,4,324,842.0
呼,hū,"breathe sigh, exhale; call, shout",口,30.5,8,4,1099,843.0
味,wèi,"taste, smell, odor; delicacy",口,30.5,8,4,1078,844.0
沙,shā,"sand, gravel, pebbles; granulated",水,85.4,7,4,860,848.0
掉,diào,"turn, move; shake, wag; drop down",手,64.8,11,4,2170,849.0
杂,zá,"mixed, blended; mix, mingle",木,75.2,6,4,498,853.0
误,wù,"err, make mistake; interfere",言,149.7,9,4,1714,854.0
减,jiǎn,"decrease, subtract, diminish",冫,15.9,11,4,2375,857.0
肯,kěn,"willing; consent to, permit",肉,130.4,8,4,1067,860.0
败,bài,"be defeated, decline, fail",貝,154.4,8,4,1113,862.0
梦,mèng,dream; visionary; wishful,木,75.7,11,4,2221,865.0
散,sàn,"scatter, disperse, break up",攴,66.8,12,4,2546,866.0
温,wēn,lukewarm,水,85.9,12,4,2757,867.0
困,kùn,"to surround, beseige; to be surrounded; difficult",囗,31.4,7,4,734,868.0
封,fēng,"letter, envelope; feudal",寸,41.6,9,4,1366,871.0
缺,quē,"be short of, lack; gap, deficit",缶,121.4,10,4,1935,875.0
恐,kǒng,"fear; fearful, apprehensive",心,61.6,10,4,1810,891.0
松,sōng,pine tree; fir tree,木,75.4,8,4,1026,895.0
虑,lǜ,"be concerned, worry about",心,61.6,10,4,1882,901.0
幸,xìng,"luck(ily), favor, fortunately",干,51.5,8,4,983,902.0
赶,gǎn,"pursue, follow; expel, drive away",走,156.3,10,4,1788,908.0
剧,jù,"theatrical plays, opera, drama",刀,18.8,10,4,2132,909.0
叶,yè,"to harmonize, to rhyme; to unite; (borrowed for) leaf",口,30.2,5,4,238,920.0
吸,xī,"inhale, suck in; absorb; attract",口,30.4,6,4,431,924.0
呀,ya,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,口,30.4,7,4,729,929.0
顺,shùn,"obey, submit to, go along with",頁,181.3,9,4,1559,938.0
输,shū,"transport, carry, haul",車,159.9,13,4,2890,939.0
招,zhāo,"beckon, summon; recruit, levy",手,64.5,8,4,988,941.0
脱,tuō,take off,肉,130.7,11,4,2360,943.0
油,yóu,"oil, fat, grease, lard; paints",水,85.5,8,4,1248,948.0
材,cái,"material, stuff; timber; talent",木,75.3,7,4,681,952.0
博,bó,"gamble, play games; wide, broad",十,24.1,12,4,2521,965.0
烟,yān,"smoke, soot; opium; tobacco, cigarettes",火,86.6,10,4,2062,967.0
授,shòu,"give to, transmit; confer",手,64.8,11,4,2177,968.0
禁,jìn,"restrict, prohibit, forbid",示,113.8,13,4,2863,986.0
孙,sūn,"grandchild, descendent; surname",子,39.3,6,4,570,995.0
篇,piān,"chapter, section, essay, article",竹,118.9,15,4,3268,1008.0
遍,biàn,"everywhere, all over, throughout",辵,162.9,12,4,2788,1012.0
础,chǔ,"foundation stone, plinth",石,112.5,10,4,1866,1014.0
翻,fān,"flip over, upset, capsize",羽,124.12,18,4,3445,1027.0
森,sēn,forest; luxuriant vegetation,木,75.8,12,4,2567,1029.0
默,mò,"silent; quiet, still; dark",黑,203.4,16,4,3352,1031.0
熟,shú,well-cooked; ripe; familiar with,火,86.11,15,4,3278,1035.0
伙,huǒ,"companion, colleague; utensils",人,9.4,6,4,475,1047.0
弄,nòng,"do, play or fiddle with; alley",廾,55.4,7,4,600,1053.0
刀,dāo,knife; old coin; measure,刀,18.0,2,4,18,1067.0
窗,chuāng,window,穴,116.7,12,4,2786,1074.0
醒,xǐng,wake up; sober up; startle,酉,164.9,16,4,3336,1075.0
